V obytné zóně řidič smí jet rychlostí:|A|Nejvýše 20 km.h-1.|Nejvýše 40 km.h-1.|Nejvýše 30 km.h-1.
Při přepravě sypkých substrátů, například písku, musí být:|A|Náklad zajištěn tak, aby nedocházelo k jeho samovolnému odlétávání, například plachtou.|Vozidlo viditelně označeno zvláštním označením vozidla přepravujícího sypké substráty.|Vozidlo vybaveno zvláštním výstražným světlem oranžové barvy, které musí být při jízdě zapnuté.
Řidič smí na dálnici a na silnici pro motorová vozidla vjíždět a z nich vyjíždět:|A|Jen na místech k tomu určených.|Z kteréhokoliv místa nebo pozemku přiléhajícího k dálnici nebo silnici pro motorová vozidla.|Kdekoliv.
Na dálnici a na silnici pro motorová vozidla je zastavení a stání dovoleno:|A|Jen na místech označených jako parkoviště.|Jen na krajnici nebo na středním dělícím pásu.|Kdekoliv, pokud tím nejsou ohroženi ani omezeni řidiči ostatních vozidel jedoucích po dálnici nebo silnici pro motorová vozidla.
Na dálnici a na silnici pro motorová vozidla je vlečení motorového vozidla dovoleno jen tehdy:|C|Je-li vlečeno po krajnici (v odstavném pruhu).|Je-li možno při jízdě po rovině dosáhnout rychlosti nejméně 60 km/h.|Jestliže je to nutné k jeho odstranění z dálnice nebo ze silnice pro motorová vozidla; vozidlo smí být vlečeno jen k nejbližšímu výjezdu, kde musí dálnici nebo silnici pro motorová vozidla opustit.
V obytné a pěší zóně smí řidič jet rychlostí nejvýše:|B|40 km/h.|20 km/h.|30 km/h.
V obytné a pěší zóně je stání dovoleno:|A|Jen na místech označených jako parkoviště.|Kdekoliv, s výjimkou míst označených dopravní značkou "Zákaz zastavení" nebo "Zákaz stání".|Jen na krajnici nebo na chodníku, i když tato místa nejsou označena jako parkoviště.
Na pozemní komunikaci o třech jízdních pruzích vyznačených na vozovce v jednom směru jízdy smí řidič přejíždět z levého jízdního pruhu do středního jízdního pruhu jen:|A|Tehdy, neohrozí-li řidiče přejíždějícího do středního jízdního pruhu z pravého jízdního pruhu.|Pokud má jistotu, že neomezí řidiče vozidel jedoucích za ním.|Tehdy, neomezí-li řidiče přejíždějícího do středního jízdního pruhu z pravého jízdního pruhu.
Provozovatel vozidla nesmí přikázat nebo svěřit samostatné řízení vozidla:|B|Osobě, která je držitelem jen cestovního pasu a odpovídajícího řidičského oprávnění.|Osobě, o které nezná údaje potřebné k určení její totožnosti.|Osobě, u které nezná její věk.
Vyžadují-li provozní nebo jiné závažné důvody, aby osoby při nastupování do autobusu, trolejbusu či tramvaje mimo zastávku vstoupily do vozovky:|B|Musí řidič na nezbytně nutnou dobu zastavit ostatní projíždějící vozidla.|Je dopravce oprávněn zastavovat ostatní vozidla.|Je každý z cestujících starší 18 let oprávněn zastavovat ostatní vozidla.
Řidič při vjíždění z účelové pozemní komunikace na jinou pozemní komunikaci:|B|Nedává přednost v jízdě.|Musí dát přednost v jízdě vozidlům nebo jezdcům na zvířatech nebo organizovanému útvaru chodců nebo průvodcům hnaných zvířat se zvířaty.|Dává přednost v jízdě vozidlům přijíždějícím zleva.
Motorové vozidlo musí mít za jízdy:|C|Zavřena boční okna.|Vždy rozsvícena všechna světla.|Rozsvícena obrysová světla a potkávací světla nebo světla pro denní svícení, pokud je jimi vybaveno podle zvláštního právního předpisu.
Pokud hustota provozu na dálnici a rychlostní silnici o dvou jízdních pruzích v jednom směru jízdy vyvolá vznik kolony stojících vozidel, jsou řidiči souběžně jedoucích vozidel povinni:|A|vytvořit mezi jízdními pruhy prostor pro průjezd vozidel s právem přednostní jízdy|Rozsvítit stanovené osvětlení vozidla.|Snížit vzájemný boční odstup.
Řidič je povinen podrobit se vyšetření ke zjištění, zda není ovlivněn alkoholem nebo jinou návykovou látkou:|B|Na výzvu starosty obce.|Na výzvu policisty nebo strážníka obecní policie.|Na výzvu pracovníka dopravního podniku.
Řidič nesmí při jízdě vozidlem:|C|Mít nasazeny ochranné brýle.|Prudce zrychlovat.|Držet v ruce nebo jiným způsobem telefonní přístroj nebo jiné hovorové nebo záznamové zařízení.
Řidič motorového vozidla je povinen na výzvu policisty:|A|Podrobit vozidlo kontrole hmotnosti vozidla nebo jízdní soupravy.|Doplnit nádrž vozidla pohonnými látkami.|Přibrat jako spolujezdce osobu, které ujelo vozidlo hromadné dopravy osob.
Je-li pro zařazování do průběžného jízdního pruhu zřízen připojovací jízdní pruh:|C|Je řidič povinen před zařazením do průběžného pruhu zastavit.|Musí řidič jedoucí v průběžném pruhu snížit rychlost jízdy.|Je řidič povinen před zařazením do průběžného pruhu užít připojovacího pruhu.
Při zařazování z připojovacího pruhu do průběžného pruhu:|B|Řidič nesmí omezit řidiče vozidla jedoucího v průběžném pruhu.|Řidič nesmí ohrozit řidiče jedoucí v průběžném pruhu.|Musí řidič jedoucí v připojovacím pruhu dosáhnout stejné rychlosti jako ostatní řidiči.
Řidič nesmí předjíždět na křižovatce a v těsné blízkosti před ní; tento zákaz neplatí:|A|Na hlavní pozemní komunikaci.|Pokud je vozidlo řádně osvětleno.|Dává-li řidič řádně a včas znamení o změně směru jízdy.
O odstranění vozidla, které neoprávněně stojí na vyhrazeném parkovišti:|C|Může rozhodnout jen policista.|Může rozhodnout jen strážník obecní policie.|Rozhodne policista nebo strážník obecní policie; vozidlo se odstraní na náklad jeho provozovatele.
Při vjíždění na kruhový objezd a jízdě po kruhovém objezdu:|B|Řidič dává vždy znamení o změně směru jízdy.|Řidič nedává znamení o změně směru jízdy, nepřejíždí-li z jednoho jízdního pruhu do druhého.|Řidič nedává znamení o změně směru jízdy ani při přejíždění z pruhu do pruhu.
Vozidlo musí mít za jízdy při snížené viditelnosti:|C|Rozsvícena jen dálková světla.|Rozsvícena jen tlumená světla.|Rozsvícena obrysová a potkávací světla nebo dálková světla, pokud je jimi vybaveno podle zvláštního právního předpisu.
Řidič jízdní soupravy, jejíž celková délka přesahuje 7 m, nesmí předjíždět jiné vozidlo:|A|Pokud k jeho předjetí nemá dostatečnou rychlost, takže by omezil v jízdě ostatní vozidla svou výrazně nižší rychlostí jízdy.|Nejede-li jím řízené vozidlo rychlostí alespoň 50 km/h.|Pokud je výrazně snížena viditelnost.
Zastavovat vozidlo je oprávněn:|A|Policista ve stejnokroji.|Kdokoliv.|Ten, kdo je k tomu pověřen policistou.
K měření rychlosti vozidel je oprávněna:|B|Jen policie.|Policie a obecní policie.|Jen obecní policie.
Řidič motorového vozidla je povinen:|A|Být za jízdy připoután na sedadle bezpečnostním pásem, pokud jím je sedadlo povinně vybaveno podle zvláštního právního předpisu.|Být připoután na sedadle bezpečnostním pásem, pokud jím je sedadlo povinně vybaveno podle zvláštního právního předpisu, jen za jízdy mimo obec.|Se za jízdy připoutat bezpečnostními pásy.
Řidič nesmí požít alkoholický nápoj:|C|Bezprostředně po skončení jízdy.|Ještě hodinu po skončení jízdy.|Během jízdy.
Svítí-li zvláštní výstražné světlo modré nebo modré a červené barvy na stojícím vozidle:|A|Musí řidiči ostatních vozidel podle okolností snížit rychlost jízdy a popřípadě i zastavit vozidlo.|Musí řidiči ostatních vozidel vždy zastavit vozidlo.|Musí ostatní řidiči zastavit vozidlo na krajnici.
Dojde-li při jízdě vozidla v tunelu k poruše vozidla, pro kterou se toto vozidlo stalo nepojízdným, nebo dojde-li k dopravní nehodě, je řidič povinen neprodleně:|B|Opustit tunel.|Vypnout motor, a je-li k vytápění vozidla použito nezávislého topení, vypnout i toto topení.|Vypnout osvětlení vozidla.
Řidič, který měl účast na dopravní nehodě:|A|Je povinen učinit opatření k zabránění vzniku škody osobám nebo věcem, pokud tato hrozí v důsledku dopravní nehody.|Musí vždy nehodu oznámit vlastníkovi pozemní komunikace.|Musí vždy nehodu oznámit policii.
Svislé stálé dopravní značky jsou nadřazeny:|B|Pokynům policisty.|Vodorovným dopravním značkám.|Světelným signálům.
Řidič nesmí kouřit:|C|Jen při jízdě na jízdním kole.|Při řízení nákladního automobilu.|Při jízdě na motocyklu, na mopedu a na jízdním kole.
Řidič nesmí snížit náhle rychlost jízdy nebo náhle zastavit:|A|Pokud to nevyžaduje bezpečnost provozu na pozemních komunikacích.|S výjimkou případu zdravotní nevolnosti.|S výjimkou případu, kdy je zastavován pracovníkem dráhy.
Rychlost jízdy musí řidič přizpůsobit:|C|Zdravotnímu stavu spolujezdců.|Ročnímu období.|Předpokládanému stavebnímu a dopravně technickému stavu pozemní komunikace.
Řidič nesmí při jízdě vozidlem:|C|Telefonovat ani komunikovat prostřednictvím jiného hovorového zařízení.|Telefonovat jen při jízdě v obci.|Držet v ruce nebo jiným způsobem telefonní přístroj nebo jiné hovorové nebo záznamové zařízení.
Vozidlo s vysokou plachtovou nástavbou je zvlášť citlivé na boční vítr pokud:|A|Je prázdné.|Je plně naložené.|Převáží sypký náklad.
Přilnavost pneumatik snižuje:|A|Silný déšť a vysoká vrstva vody na vozovce.|Velká hmotnost nákladu na vozidle.|Malá hmotnost nákladu na vozidle.
Sníh, náledí nebo rozbředlý sníh na vozovce vyžadují:|A|Jízdu se zvýšenou opatrností, přizpůsobenou stavu vozovky.|Brzdění s použitím parkovací brzdy.|Zatížení vozidla na hodnotu celkové hmotnosti uvedené v technickém průkazu vozidla.
Vzduchový vír nebo náraz vzniklý při předjíždění:|A|Je nebezpečím pro stabilitu předjížděných vozidel, zejména jednostopých.|Nemá vliv na předjížděná vozidla.|Je nebezpečný pouze pro jednostopá vozidla.
Před vjetím na krajnici:|A|Je nutné se přesvědčit, že krajnice je dostatečně pevná a nedojde k jejímu utržení.|Stačí snížit rychlost jízdy.|Není nutné se přesvědčit, že krajnice je dostatečně pevná, neboť je součástí pozemní komunikace.
Při jízdě na motocyklu za mokra se povrch vodorovného značení přechodů pro chodce nebo jízdních pruhů:|C|Stává špatně viditelným a je proto nutné vždy používat obrysová a potkávací světla namísto světel pro denní svícení.|Nijak neliší od povrchu tohoto značení za sucha, je stejně viditelný a má i stejné adhezní vlastnosti.|Stává výrazně kluzkým, takže není vhodné na něm provádět žádný prudký manévr, jako je akcelerace, brzdění, náklon nebo náhlá změna směru jízdy.
Smyku předního kola v zatáčce a tím způsobenému pádu motocyklu předejdeme:|B|Zvýšením výkonu přenášeného zadním kolem přidáním plynu.|Odbrzděním předního kola ještě před naklopením motocyklu.|Zvýšením brzdné síly na předním kole páčkou ruční brzdy.
Správně jedoucí motocyklista projíždí zatáčkou tak, aby:|A|Nebylo nutné v průběhu zatáčení přidávat plyn ani brzdit.|Brzděním snižoval neustále rychlost jízdy motocyklu.|Přidáváním plynu neustále zvyšoval rychlost motocyklu.
Při rychlosti 100 km/h je délka brzdné dráhy Vašeho vozidla oproti brzdné dráze při rychlosti 50 km/h:|A|Přibližně čtyřikrát delší.|Přibližně třikrát delší.|Přibližně dvakrát delší.
Častou příčinou vzniku dopravních nehod při jízdě na dálnici je:|A|Jízda s nedostatečnou vzdáleností mezi vozidly jedoucími za sebou.|Pomalá jízda nákladních vozidel.|Jízda v pravém jízdním pruhu.
Při prudkém sešlápnutí brzdového pedálu vozidla bez protiblokovacího systému brzd (ABS) na náledí dojde:|A|K zablokování kol vozidla a vozidlo se stává neřiditelným.|K maximálnímu brzdnému účinku, při němž vozidlo zastaví s nejkratší brzdnou dráhou.|K zablokování kol zadní nápravy vozidla, při němž vozidlo zůstává řiditelným.
Historickým vozidlem je:|A|Vozidlo, které je zapsáno v registru historických a sportovních vozidel a kterému byl vydán průkaz historického vozidla.|Vozidlo, které nesmí být použito k provozu na pozemních komunikacích.|Každé vozidlo, jehož konstrukce neodpovídá technickým požadavkům na nově vyráběná vozidla.
Historickým vozidlem je:|A|Vozidlo, které je zapsáno v registru historických a sportovních vozidel a kterému byl vydán průkaz historického vozidla.|Každé vozidlo starší než 15 let.|Každé vozidlo starší než 20 let.
Těhotné ženy:|B|Nesmí nikdy používat bezpečnostní pásy.|Musí používat bezpečnostní pásy.|Nemusí používat bezpečnostní pásy, pokud je vozidlo vybaveno airbagem.
Provozovatel osobního automobilu, který nebyl dříve registrován v zahraničí, přistaví tento automobil k technické prohlídce nejpozději ve lhůtě:|A|4 let po prvním zaregistrování tohoto automobilu a potom pravidelně ve lhůtách 2 let.|4 let po prvním zaregistrování tohoto automobilu a potom pravidelně ve lhůtách 4 let.|2 let po prvním zaregistrování tohoto automobilu a potom pravidelně ve lhůtách 4 let.
Hrozí trestní postih, pokud neposkytnete první pomoc?|A|Ano, s možností nepodmíněného trestu odnětí svobody.|Ne, v žádném případě, je to moje vlastní vůle.|Podle závažnosti úrazu nebo postižení poraněného.
Které z následujících motorových vozidel smíte řídit na základě řidičského oprávnění skupiny C?|A|Motorové vozidlo se šesti místy k sezení, jehož maximální přípustná hmotnost je 8.200 kg.|Motorové vozidlo s patnácti místy k sezení, jehož maximální přípustná hmotnost je 8.200 kg.|Motorové vozidlo s maximální přípustnou hmotností 4.500 kg, k němuž je připojeno přípojné vozidlo, jehož maximální přípustná hmotnost je 1.000 kg.
Které z následujících motorových vozidel smíte řídit s řidičským oprávněním skupiny B?|A|Motorové vozidlo určené pro přepravu osob, s devíti místy k sezení včetně místa řidiče, jehož maximální přípustná hmotnost je 3.350 kg.|Motorové vozidlo určené pro přepravu nákladu, se dvěma místy k sezení, jehož maximální přípustná hmotnost je 3.700 kg.|Motocykl o objemu válců nepřesahujícím 125 cm3 a o výkonu nejvýše 11 kW, jehož konstrukční rychlost však přesahuje 45km/h.
Za jízdy v noci se vám náhle v dálkových světlech objeví lesní zvěř. Jak se zachováte?|A|Okamžitě ztlumíte světla na potkávací a snížíte rychlost jízdy.|Vypnete světla vozidla a pokračujete sníženou rychlostí v jízdě.|Pokračujete v jízdě stejným způsobem s dálkovými světly.
Častou příčinou těžkých nehod na dálnici při předjíždění je:|A|Nedostatečné sledování provozu za vozidlem.|Pomalá jízda.|Jízda s bezpečnou vzdáleností mezi vozidly.
Ve výhledu z motorového vozidla vidíte skupinu dětí na chodníku. Jak se zachováte?|A|S ohledem na možné vběhnutí dětí do vozovky snížíte rychlost jízdy a zvýšíte pozornost.|Protože jsou děti na chodníku, nemáte důvod ke zvýšení opatrnosti ani ke změně způsobu jízdy.|Použijete zvukové výstražné znamení a přejedete k levému okraji jízdního pruhu.
Při zvyšování rychlosti jízdy se zorné pole řidiče:|B|Nemění.|Zužuje.|Rozšiřuje.
Při začínajícím drobném dešti se snížení přilnavosti pneumatik nejvýrazněji projeví na vozovce:|A|Dlážděné.|S asfaltovým povrchem.|S betonovým povrchem.
Při jízdě vozidla po krajnici:|A|Je nutno dbát zvýšené opatrnosti, vzhledem k možnosti porušení její nezpevněné části a převrácení vozidla.|Není nutno dbát zvýšené opatrnosti.|Musí být uvedeno v činnost výstražné světelné zařízení.
Řidič jedoucí před Vámi dává výstražné světelné znamení. Jak se zachováte?|C|Zajedete co nejblíže k pravému okraji vozovky a zastavíte.|Pokračujete v jízdě za nezměněných podmínek.|Snížíte rychlost jízdy a použijete také světelné výstražné znamení.
Zvukové výstražné znamení smí řidič ve vztahu k životnímu prostředí použít:|A|Pouze v případech stanovených zákonem.|Kdykoliv to uzná za vhodné.|Tam kde je to povoleno dopravní značkou.
Při přepravě sypkého materiálu musí řidič:|A|Dbát zvýšené opatrnosti vzhledem k možnosti ohrožení ostatních účastníků silničního provozu odlétávajícími částicemi.|Jet rychlosti maximálně 40 km/h.|V půlhodinových intervalech kontrolovat stav nákladu.
Při přepravě vozidlem hromadné dopravy osob cestující:|A|Musí dbát pokynů a příkazů řidiče.|Nemá žádné povinnosti.|Nesmí stát v uličce.
Při řízení vozidla hromadné dopravy osob řidič:|A|Musí volit způsob a rychlost jízdy tak, aby neohrozil bezpečnost a pohodlí cestujících.|Smí jet rychlostí maximálně 60 km/h.|Musí každou hodinu kontrolovat vnější osvětlení vozidla.
Řidič trolejbusu:|A|Musí být držitelem řidičského oprávnění skupiny D.|Musí být držitelem řidičského oprávnění skupiny C.|Musí být držitelem řidičského oprávnění skupiny T.
Držitelé řidičského oprávnění skupiny B mohou řídit:|B|Jen motocykl bez postranního vozíku, který má výkon nejvýše 25kW.|Motorová vozidla s nejvýše 8 místy k sezení, kromě místa řidiče, pokud jejich maximální přípustná hmotnost nepřevyšuje 3 500 kg.|Motorová vozidla s nejvýše 8 místy k sezení, kromě místa řidiče, a s  maximální přípustnou hmotností převyšující 3 500 kg.
Které z následujících motorových vozidel smíte řídit na základě řidičského oprávněním skupiny C:|A|Motorové vozidlo určené pro přepravu nákladu, se dvěma místy k sezení, jehož maximální přípustná hmotnost je 3.700 kg.|Motorové vozidlo určené pro přepravu osob, s deseti místy k sezení, jehož maximální přípustná hmotnost je 3.350 kg.|Motocykl o objemu válců nepřesahujícím 125 cm3 a o výkonu nejvýše 11 kW.
Řidičské oprávnění skupiny D + E není třeba k řízení jízdní soupravy složené z motorového vozidla, k jehož řízení opravňuje řidičské oprávnění skupiny D, a přípojného vozidla:|A|S maximální přípustnou hmotností nejvýše 750 kg.|S maximální přípustnou hmotností nejvýše 1.000 kg.|S maximální přípustnou hmotností nejvýše 1.500 kg.
Řidičské oprávnění skupiny C + E není třeba k řízení jízdní soupravy složené z motorového vozidla, k jehož řízení opravňuje řidičské oprávnění skupiny C, a přípojného vozidla:|A|S maximální přípustnou hmotností nejvýše 750 kg.|S maximální přípustnou hmotností nejvýše 1.000 kg.|S maximální přípustnou hmotností nejvýše 1.500 kg.
Je jezdec na koni, který se pohybuje po pozemní komunikaci, řidičem a platí pro něj povinnosti a práva účastníků provozu na pozemních komunikacích?|A|Ano.|Ne.
Během jízdy může kouřit:|A|Řidič nákladního vozidla.|Řidič motocyklu.|Řidič autobusu.
Řidič motorového vozidla, jehož celková hmotnost nepřevyšuje 3.500 kg, smí v obci zastavit a stát:|A|I kolmo, popřípadě šikmo k okraji pozemní komunikace nebo zastavit v druhé řadě, pokud tím není ohrožena bezpečnost a plynulost provozu.|I kolmo, popřípadě šikmo k okraji pozemní komunikace; ve druhé řadě smí zastavit pouze řidič vozidla taxislužby.|Pouze vpravo ve směru jízdy rovnoběžně s okrajem pozemní komunikace a co nejblíže k němu; řidič vozidla taxislužby smí zastavit i v druhé řadě.
Pokud hustota provozu na silnici pro motorová vozidla o dvou jízdních pruzích v jednom směru jízdy vyvolá vznik kolony stojících vozidel, jsou řidiči souběžně jedoucích vozidel povinni:|A|vytvořit mezi jízdními pruhy prostor pro průjezd vozidel s právem přednostní jízdy|Řadit se průběžně do pravého jízdního pruhu.|Řadit se průběžně do levého jízdního pruhu.
Na dálnici je vlečení motorového vozidla dovoleno jen tehdy:|C|Je-li vlečeno po krajnici nebo v odstavném pruhu.|Je-li možno při jízdě po rovině dosáhnout rychlosti nejméně 65 km/h.|Jestliže je to nutné k jeho odstranění z dálnice nebo ze silnice pro motorová vozidla; vozidlo smí být vlečeno jen k nejbližšímu výjezdu, kde musí dálnici nebo silnici pro motorová vozidla opustit.
Na silnici pro motorová vozidla je vlečení motorového vozidla dovoleno jen tehdy:|C|Jestliže maximální přípustná hmotnost vlečeného vozidla nepřevyšuje 3.500 kg.|Je-li možno při jízdě po rovině dosáhnout rychlosti nejméně 80 km/h.|Jestliže je to nutné k jeho odstranění z dálnice nebo ze silnice pro motorová vozidla; vozidlo smí být vlečeno jen k nejbližšímu výjezdu, kde musí dálnici nebo silnici pro motorová vozidla opustit.
Silnice pro motorová vozidla je:|A|Pozemní komunikace označená dopravní značkou "Silnice pro motorová vozidla".|Každá silnice I. třídy.|Každá pozemní komunikace o nejméně dvou jízdních pruzích v jednom směru jízdy, pokud vede mimo obec.
Řidič motorového vozidla musí mít při řízení u sebe:|B|Finanční hotovost nejméně 5.000 Kč.|Řidičský průkaz.|Reflexní vestu.
Řidič motorového vozidla musí mít při řízení u sebe:|B|Návod k ovládání a údržbě vozidla.|Osvědčení o registraci vozidla.|Sluneční brýle nebo jiný prostředek sloužící k ochraně zraku před oslněním.
Je jezdec na koloběžce, který se pohybuje po pozemní komunikaci, řidičem?|B|Ne.|Ano.
Dávat světelné výstražné znamení krátkým přerušovaným rozsvícením dálkových světel nebo přepínáním potkávacích a dálkových světel k upozornění řidiče předjížděného vozidla:|B|Je zakázáno.|Je dovoleno.|Je dovoleno pouze na dálnici a silnici pro motorová vozidla.
Dávat zvukové výstražné znamení k upozornění řidiče předjížděného vozidla:|C|Je zakázáno.|Je dovoleno.|Je dovoleno pouze mimo obec.
Vyžadují-li provozní nebo jiné závažné důvody, aby osoby při vystupování z vozidla taxislužby vstoupily do vozovky:|B|Je řidič vozidla taxislužby povinen umístit za vozidlo přenosný výstražný trojúhelník.|Je řidič vozidla taxislužby oprávněn zastavovat ostatní vozidla.|Je řidič vozidla taxislužby povinen oznámit tuto skutečnost policii.
Vyžadují-li provozní nebo jiné závažné důvody, aby osoby při vystupování z autobusu mimo zastávku vstoupily do vozovky:|B|Je dopravce povinen umístit za stojící autobus přenosný výstražný trojúhelník.|Je dopravce oprávněn zastavovat ostatní vozidla.|Je každý cestující z autobusu starší 18 let oprávněn zastavovat ostatní vozidla.
Častou příčinou těžkých nehod na dálnici je:|A|Únava pramenící z nedostatečného odpočinku a následný mikrospánek řidiče.|Pomalá jízda.|Jízda v jízdním pruhu pro pomalá vozidla.
Je velmi horký den. Co můžete jako řidič motocyklu očekávat na silnici?|A|Rozměklý povrch vozovky a v důsledku toho ztížené ovládání vozidla.|Zvýšený pohyb zvěře v lesních úsecích.|Snížení přilnavosti pneumatik k vozovce vzhledem k jejich vyššímu zahřívání.
Řidič vozidla jedoucího před vámi zřejmě zapomněl vypnout znamení o změně směru jízdy vlevo. Jak se zachováte?|B|Upozorníte jej zvukovým výstražným znamením.|Nebudete takové vozidlo předjíždět.|Upozorníte jej světelným výstražným znamením.
Na téže nápravě musí být používány:|C|Pneumatiky stejného rozměru a značky.|Pneumatiky stejného rozměru bez ohledu na homologaci a typ dezénu.|Pouze shodné pneumatiky, přičemž shodnou pneumatikou se rozumí pneumatika stejného rozměru, konstrukce, druhu dezénu a značky.
Používání pneumatik s protiskluzovými hroty:|A|Je zakázáno pro všechna vozidla, s výjimkou vozidel záchranné služby.|Je povoleno pouze v zimním období.|Je povoleno pouze v zimním období a jen v horských oblastech.
Činná plocha pláště pneumatiky v provozu musí mít po celém obvodu a v celé šíři vrchního běhounu jasně viditelný dezén s hloubkou hlavních dezénových drážek:|C|U všech vozidel nejméně 1,0 mm.|U osobních vozidel 1,5 mm a u nákladních vozidel 2,0 mm.|U mopedů nejméně 1,0 mm a u vozidel ostatních kategorií nejméně 1,6 mm.
Nová přípojná vozidla za osobní automobil:|A|Podléhají registraci.|Nepodléhají registraci.|Podléhají registraci pouze na žádost jejich vlastníka.
Nově registrovaná přípojná vozidla:|C|Mají registrační značku shodnou s tažným vozidlem.|Nemusí mít žádnou registrační značku.|Mají po zaregistrování svou přidělenou registrační značku.
Jedete za autobusem, který zastavuje v zastávce při pravém okraji vozovky. Jak se zachováte?|C|Předjedete jej zvýšenou rychlostí dříve než zastaví, abyste nemusel(a) zohledňovat vystupující cestující.|Zastavíte těsně za ním.|Objedete jej zleva sníženou rychlostí; berete v úvahu možnost zvýšeného pohybu chodců.
Přípojná vozidla, jejichž největší přípustná hmotnost převyšuje 750 kg, ale nepřevyšuje 3 500 kg:|B|Nemusí být vybavena náhradním kolem s ráfkem upevněným v držáku.|Musí být vybavena náhradním kolem s ráfkem upevněným v držáku, pokud není udělena výjimka zapsaná v technickém průkazu vozidla.|Nemusí být vybavena náhradním kolem, pokud jezdí pouze mimo dálnice nebo silnice pro motorová vozidla.
Jedete za pomalu jedoucím vozidlem autoškoly. Jak se zachováte?|B|Krátkým přerušovaným rozsvícením dálkových světel jej upozorníte, že omezuje plynulost silničního provozu.|V klidu a trpělivě pojedete za ním a případně jej na vhodném místě předjedete.|Použijete zvukové výstražné znamení a zvýšenou rychlostí jej předjedete.
Jiná než předepsaná nebo povolená světelná zařízení:|A|Nesmí být na vozidle použita.|Smí být na vozidle použita pouze za předpokladu, že jejich užití nebude obtěžovat ostatní účastníky provozu na pozemních komunikacích.|Smí být použita pouze při tuningové úpravě vozidla.
Okamžitá hmotnost jízdní soupravy:|A|Nesmí být větší než největší povolená hmotnost jízdní soupravy stanovená při schválení technické způsobilosti tažného vozidla.|Může být větší než největší povolená hmotnost jízdní soupravy stanovená při schválení technické způsobilosti tažného vozidla.|Může být libovolná, nesmí však překročit limity stanovené prováděcí vyhláškou.
Pokud přípojné vozidlo svými rozměry po připojení k tažnému vozidlu znemožní řidiči řádný výhled vnějšími zpětnými zrcátky:|C|Smí být taková souprava v silničním provozu užita pouze na silnicích II. a III. třídy a místních komunikacích.|Smí být taková souprava užívána v silničním provozu.|Tažné vozidlo musí být opatřeno doplňkovými zpětnými zrcátky s větším vyložením nebo jiným zařízením, které zajistí řádný výhled.
Započítává se do největší povolené délky autobusů jakákoliv odnímatelná výbava (např. schrána na lyže atd.)?|B|Ne, nezapočítává.|Ano, započítává.|Ano, ale jen u meziměstských a dálkových autobusů.
Povinná výbava motorových a přípojných vozidel musí být umístěna ve vozidle:|A|Při každém užití vozidla v provozu na pozemních komunikacích.|Pouze pokud je vozidlo přistaveno na STK.|Pouze pokud nepřekáží při běžném užití vozidla.
Na vozidle mohou být použita jen taková světelná zařízení:|A|Která jsou pro danou kategorii předepsána a povolena.|Která jsou pevně spojena s vozidlem, bez ohledu na jejich počet, barvu a umístění.|Jejichž činnost je signalizována kontrolkou.
Úprava barvy světla vyzařovaného světelným zařízením vozidla je:|A|Zakázána.|Povolena pouze záměnou žárovky jiné barvy.|Je možná změna jiným způsobem, např. přestříkáním.
Nádoby na záložní palivo musí být provedeny tak, aby:|A|Palivo nemohlo vytékat při jakékoli poloze nádoby.|Se nedaly ve vozidle zaměnit s jinou nádobou.|Neměly objem větší než 5 litrů.
Dodatečná montáž předních mlhových světel na vozidlo je možná:|A|Pokud montáž odpovídá technickým požadavkům stanoveným mezinárodním předpisem.|Bez omezení.|Není možná.
K pravidelné technické prohlídce může přistavit vozidlo:|A|Jakákoliv osoba, které je vozidlo svěřeno.|Pouze provozovatel vozidla.|Pouze vlastník vozidla.
Kontrolní nálepka osvědčující technickou způsobilost vozidla se umísťuje:|A|Na zadní tabulku registrační značky.|Na přední tabulku registrační značky.|Podle požadavku zákazníka.
Proděravěním kontrolní nálepky, osvědčující technickou způsobilost vozidla, se vyznačuje:|B|Rok provedení příští pravidelné technické prohlídky.|Rok a měsíc, do kterého platí osvědčení o technické způsobilosti vozidla.|Rok, měsíc a den provedení příští pravidelné technické prohlídky.
Lhůta pro přistavení silničního motorového vozidla k pravidelné technické prohlídce se počítá:|C|V závislosti na počtu ujetých kilometrů od poslední pravidelné technické prohlídky.|Ode dne zakoupení vozidla nebo převedení vozidla na jinou osobu.|Ode dne zaregistrování vozidla v registračním místě a dále od data pravidelné technické prohlídky, zapsaného v  technickém průkazu vozidla.
Pokud je vozidlo vybaveno indikací defektu a soupravou pro bezdemontážní opravu pneumatiky:|B|Musí být automobil povinně vybaven náhradním kolem.|Nemusí být automobil povinně vybaven náhradním kolem.|Musí být automobil povinně vybaven náhradním kolem pouze při provozu na dálnici.
Jedete za hustého deště za nákladním vozidlem, které intenzivně znečišťuje Vaše přední okno. Jak se zachováte?|B|Pojedete co nejtěsněji za ním.|Zvýšíte rozestup mezi vozidly.|Okamžitě zahájíte předjíždění.
Projíždíte podél pastviny s pasoucím se dobytkem. Měl(a) byste:|A|Předpokládat možnost vběhnutí zvířete do vozovky.|Použít zvukové výstražné znamení.|Zvýšit rychlost jízdy.
